Bag Label,Time Point,Abundance
Death_1,0,112720500
Death_3,0,118714500
Death_4,0,54279000
Death_7,0,71428500
Death_8,0,33830750
Death_9,0,59440500
Death_11,0,49908375
LDT1R1,1,2615833.647
LDT1R2,1,6012433.647
LDT1R3,1,851488.6467
LDT1R4,1,5302033.647
LDT1R5,1,10874233.65
LDT1R6,1,1581313.647
LDT1R7,1,7388833.647
LDT2R1,2,752580
LDT2R2,2,932400
LDT2R3,2,3272280
LDT2R4,2,617160
LDT2R5,2,3774000
LDT2R6,2,244200
LDT2R7,2,15762000
LDT3R1,3,1475609.897
LDT3R2,3,224639.8971
LDT3R3,3,22730.89714
LDT3R4,3,301229.8971
LDT3R5,3,38936.89714
LDT3R6,3,2067239.897
LDT3R7,3,481049.8971
LDT4R1,4,1207361.589
LDT4R2,4,960941.5886
LDT4R3,4,321137.5886
LDT4R4,4,348221.5886
LDT4R5,4,605741.5886
LDT4R6,4,2312921.589
LDT4R7,4,11275061.59
LTT5R1,5,371400.9257
LTT5R2,5,109440.9257
LTT5R3,5,49500.92571
LTT5R4,5,4682640.926
LTT5R5,5,364740.9257
LTT5R6,5,238200.9257
LTT5R7,5,100338.9257