Bag Label,Time Point,Abundance,Per uL,Per tube,Total
LCT1R1,1,-1346.553333,-0.606555555,-181.9666666,-363.9333332
LCT1R2,1,895.6466667,0.403444444,121.0333333,242.0666667
LCT1R3,1,-1601.853333,-0.721555555,-216.4666666,-432.9333332
LCT1R4,1,-1942.623333,-0.875055555,-262.5166666,-525.0333332
LCT1R5,1,1772.546667,0.798444445,239.5333334,479.0666668
LCT1R6,1,584.8466667,0.263444444,79.03333334,158.0666667
LCT1R7,1,3892.646667,1.753444445,526.0333334,1052.066667
LOT1R1,1,9120433.647,4108.303445,1232491.033,2464982.067
LOT1R2,1,877573.6467,395.3034445,118591.0333,237182.0667
LOT1R3,1,4591633.647,2068.303445,620491.0334,1240982.067
LOT1R4,1,1330453.647,599.3034446,179791.0334,359582.0668
LOT1R5,1,1827733.647,823.3034446,246991.0334,493982.0668
LOT1R6,1,1985353.647,894.3034446,268291.0334,536582.0668
LOT1R7,1,7810633.647,3518.303445,1055491.033,2110982.067
LUT1R1,1,2924413.647,1317.303445,395191.0334,790382.0668
LUT1R2,1,1159513.647,522.3034446,156691.0334,313382.0668
LUT1R3,1,5035633.647,2268.303445,680491.0334,1360982.067
LUT1R4,1,726613.6467,327.3034445,98191.03334,196382.0667
LUT1R5,1,782113.6467,352.3034445,105691.0333,211382.0667
LUT1R6,1,2416033.647,1088.303445,326491.0334,652982.0668
LUT1R7,1,4152073.647,1870.303445,561091.0334,1122182.067
LET1R1,1,382513.6467,172.3034445,51691.03334,103382.0667
LET1R2,1,925969.6467,417.1034445,125131.0333,250262.0667
LET1R3,1,788329.6467,355.1034445,106531.0333,213062.0667
LET1R4,1,724393.6467,326.3034445,97891.03334,195782.0667
LET1R5,1,465985.6467,209.9034445,62971.03334,125942.0667
LET1R6,1,263743.6467,118.8034445,35641.03334,71282.06668
LET1R7,1,606733.6467,273.3034445,81991.03334,163982.0667
LCT2R1,2,9168.6,4.13,1239,2478
LCT2R2,2,4262.4,1.92,576,1152
LCT2R3,2,71706,32.3,9690,19380
LCT2R4,2,16539,7.45,2235,4470
LCT2R5,2,5106,2.3,690,1380
LCT2R6,2,9834.6,4.43,1329,2658
LCT2R7,2,7392.6,3.33,999,1998
LOT2R1,2,4972800,2240,672000,1344000
LOT2R2,2,2437560,1098,329400,658800
LOT2R3,2,2268840,1022,306600,613200
LOT2R4,2,1349760,608,182400,364800
LOT2R5,2,1771560,798,239400,478800
LOT2R6,2,603840,272,81600,163200
LOT2R7,2,1172160,528,158400,316800
LUT2R1,2,1807080,814,244200,488400
LUT2R2,2,626040,282,84600,169200
LUT2R3,2,364080,164,49200,98400
LUT2R4,2,803640,362,108600,217200
LUT2R5,2,1336440,602,180600,361200
LUT2R6,2,510600,230,69000,138000
LUT2R7,2,923520,416,124800,249600
LET2R1,2,400932,180.6,54180,108360
LET2R2,2,386280,174,52200,104400
LET2R3,2,227772,102.6,30780,61560
LET2R4,2,546120,246,73800,147600
LET2R5,2,506160,228,68400,136800
LET2R6,2,555000,250,75000,150000
LET2R7,2,519480,234,70200,140400
LCT3R1,3,42044.89714,18.93914286,5681.742857,11363.48571
LCT3R2,3,-809.9828571,-0.364857143,-109.4571429,-218.9142857
LCT3R3,3,1396.697143,0.629142857,188.7428572,377.4857143
LCT3R4,3,2884.097143,1.299142857,389.7428572,779.4857143
LCT3R5,3,-893.2328571,-0.402357143,-120.7071429,-241.4142857
LCT3R6,3,-2146.422857,-0.966857143,-290.0571428,-580.1142857
LCT3R7,3,-13.00285714,-0.005857143,-1.757142857,-3.514285714
LOT3R1,3,1537769.897,692.6891428,207806.7428,415613.4857
LOT3R2,3,787409.8971,354.6891428,106406.7429,212813.4857
LOT3R3,3,620909.8971,279.6891428,83906.74285,167813.4857
LOT3R4,3,552089.8971,248.6891428,74606.74285,149213.4857
LOT3R5,3,61469.89714,27.68914286,8306.742857,16613.48571
LOT3R6,3,1995089.897,898.6891428,269606.7428,539213.4857
LOT3R7,3,291239.8971,131.1891428,39356.74285,78713.4857
LUT3R1,3,774089.8971,348.6891428,104606.7429,209213.4857
LUT3R2,3,1033829.897,465.6891428,139706.7428,279413.4857
LUT3R3,3,119189.8971,53.68914284,16106.74285,32213.4857
LUT3R4,3,1016069.897,457.6891428,137306.7428,274613.4857
LUT3R5,3,279029.8971,125.6891428,37706.74285,75413.4857
LUT3R6,3,85889.89714,38.68914286,11606.74286,23213.48571
LUT3R7,3,361169.8971,162.6891428,48806.74285,97613.4857
LET3R1,3,1004969.897,452.6891428,135806.7428,271613.4857
LET3R2,3,904514.8971,407.4391428,122231.7429,244463.4857
LET3R3,3,1046039.897,471.1891428,141356.7428,282713.4857
LET3R4,3,420554.8971,189.4391428,56831.74285,113663.4857
LET3R5,3,580949.8971,261.6891428,78506.74285,157013.4857
LET3R6,3,580394.8971,261.4391428,78431.74285,156863.4857
LET3R7,3,703937.8971,317.0891428,95126.74285,190253.4857
LCT4R1,4,158.8885714,0.071571429,21.47142857,42.94285714
LCT4R2,4,2944.988571,1.326571428,397.9714285,795.942857
LCT4R3,4,8095.388571,3.646571428,1093.971429,2187.942857
LCT4R4,4,10093.38857,4.546571428,1363.971428,2727.942857
LCT4R5,4,79823.58857,35.95657143,10786.97143,21573.94286
LCT4R6,4,2223.488571,1.001571428,300.4714285,600.942857
LCT4R7,4,10825.98857,4.876571428,1462.971428,2925.942857
LOT4R1,4,34456979.16,15521.16178,4656348.535,9312697.07
LOT4R2,4,582042.6902,262.181392,78654.41759,157308.8352
LOT4R3,4,791261.1897,356.4239593,106927.1878,213854.3756
LOT4R4,4,4827947.533,2174.751141,652425.3423,1304850.685
LOT4R5,4,1489681.769,671.0278239,201308.3472,402616.6943
LOT4R6,4,1305077.211,587.8726176,176361.7853,352723.5705
LOT4R7,4,5197156.65,2341.061554,702318.4662,1404636.932
LUT4R1,4,149988665.3,67562.46185,20268738.55,40537477.11
LUT4R2,4,2505006.84,1128.381459,338514.4378,677028.8757
LUT4R3,4,1812739.746,816.5494351,244964.8305,489929.6611
LUT4R4,4,2089646.584,941.282245,282384.6735,564769.347
LUT4R5,4,2458855.701,1107.592658,332277.7974,664555.5949
LUT4R6,4,4797180.107,2160.89194,648267.582,1296535.164
LUT4R7,4,7289341.645,3283.487227,985046.1682,1970092.336
LET4R1,4,3504948.198,1578.805495,473641.6484,947283.2968
LET4R2,4,2366553.421,1066.015055,319804.5164,639609.0327
LET4R4,4,966635.5202,435.4214055,130626.4216,261252.8433
LET4R5,4,1182007.505,532.4358131,159730.7439,319461.4878
LET4R6,4,3166506.508,1426.354283,427906.2849,855812.5697
LET4R7,4,797414.675,359.1957995,107758.7399,215517.4797
LCT5R1,5,21084.92571,9.497714284,2849.314285,5698.62857
LCT5R2,5,1204.825714,0.542714286,162.8142857,325.6285714
LCT5R3,5,1571.125714,0.707714286,212.3142857,424.6285714
LCT5R4,5,4926840.926,2219.297714,665789.3143,1331578.629
LCT5R5,5,7143.325714,3.217714286,965.3142857,1930.628571
LCT5R6,5,10162.52571,4.577714284,1373.314285,2746.62857
LCT5R7,5,9762.925714,4.397714286,1319.314286,2638.628571
LOT5R1,5,3972240.926,1789.297714,536789.3143,1073578.629
LOT5R2,5,8034840.926,3619.297714,1085789.314,2171578.629
LOT5R3,5,3328440.926,1499.297714,449789.3143,899578.6286
LOT5R4,5,27970440.93,12599.29772,3779789.315,7559578.63
LOT5R5,5,4993440.926,2249.297714,674789.3143,1349578.629
LOT5R6,5,4438440.926,1999.297714,599789.3143,1199578.629
LOT5R7,5,3284040.926,1479.297714,443789.3143,887578.6286
LUT5R1,5,768780.9257,346.2977143,103889.3143,207778.6286
LUT5R2,5,3017640.926,1359.297714,407789.3143,815578.6286
LUT5R3,5,3150840.926,1419.297714,425789.3143,851578.6286
LUT5R4,5,704400.9257,317.2977143,95189.31428,190378.6286
LUT5R5,5,1674540.926,754.2977144,226289.3143,452578.6286
LUT5R6,5,1308240.926,589.2977144,176789.3143,353578.6286
LUT5R7,5,2373840.926,1069.297714,320789.3143,641578.6286
LET5R1,5,275940.9257,124.2977143,37289.31428,74578.62857
LET5R2,5,560100.9257,252.2977143,75689.31428,151378.6286
LET5R3,5,986340.9257,444.2977143,133289.3143,266578.6286
LET5R4,5,227100.9257,102.2977143,30689.31428,61378.62857
LET5R5,5,1035180.926,466.2977144,139889.3143,279778.6286
LET5R6,5,335880.9257,151.2977143,45389.31428,90778.62857
LET5R7,5,453540.9257,204.2977143,61289.31428,122578.6286